,Activity:,Cause:,Country:,Function:,Location:,Region:,Year:
0,"Construction, commissioning, decommissioning",Pressure release,NIGERIA,Construction,Onshore,Africa,2016
1,"Maintenance, inspection, testing",Explosions or burns,ANGOLA,Production,Offshore,Africa,2011
2,"Construction, commissioning, decommissioning",Pressure release,USA,Construction,Onshore,North America,2013
3,Transport - Land,Struck by,CHAD,Unspecified,Onshore,Africa,2017
4,"Maintenance, inspection, testing",Other,AUSTRALIA,Production,Onshore,Asia/Australasia,2017
5,Production operations,Pressure release,YEMEN,Production,Offshore,Middle East,2015
6,null,Struck by,UK,Production,Offshore,Europe,2000
7,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",USA,Drilling,Onshore,North America,2014
8,"Lifting, crane, rigging, deck operations",Struck by,NEW ZEALAND,Exploration,Offshore,Asia/Australasia,2011
9,Transport - Land,"Caught in, under or between (excl. dropped objects)",ROMANIA,Drilling,Onshore,Europe,2017
10,null,Explosions or burns,VENEZUELA,Drilling,Onshore,South & Central America,2000
11,Transport - Land,Struck by,PAKISTAN,Unspecified,Onshore,Asia/Australasia,2010
12,"Lifting, crane, rigging, deck operations",Struck by,RUSSIA,Drilling,Onshore,Russia & Central Asia,2013
13,"Drilling, workover, well services",Confined space,IRAQ,Drilling,Onshore,Middle East,2014
14,"Maintenance, inspection, testing",Confined space,QATAR,Production,Onshore,Middle East,2011
15,Transport - Land,"Caught in, under or between (excl. dropped objects)",USA,Construction,Onshore,North America,2013
16,"Construction, commissioning, decommissioning",Struck by,KUWAIT,Construction,Onshore,Middle East,2015
17,"Drilling, workover, well services",Struck by,UK,Production,Offshore,Europe,2016
18,"Lifting, crane, rigging, deck operations",Struck by,NEW ZEALAND,Exploration,Offshore,Asia/Australasia,2011
19,null,Explosions or burns,RUSSIA,Production,Onshore,Russia & Central Asia,2000
20,"Drilling, workover, well services",Falls from height,UAE,Production,Onshore,Middle East,2013
21,Transport - Land,Struck by,QATAR,Construction,Onshore,Middle East,2012
22,Production operations,Explosions or burns,UAE,Production,Onshore,Middle East,2010
23,Production operations,Pressure release,GABON,Production,Onshore,Africa,2013
24,Transport - Land,Struck by,YEMEN,Construction,Onshore,Middle East,2010
25,Unspecified - other,Struck by,UAE,Production,Offshore,Middle East,2009
26,Transport - Land,"Caught in, under or between (excl. dropped objects)",PAKISTAN,Production,Onshore,Asia/Australasia,2016
27,Production operations,"Exposure noise, chemical, biological, vibration",USA,Production,Onshore,North America,2016
28,"Drilling, workover, well services",Pressure release,UAE,Production,Onshore,Middle East,2013
29,null,Struck by,USA,Unspecified,Onshore,North America,2000
30,null,Struck by,UK,Production,Offshore,Europe,2000
31,"Lifting, crane, rigging, deck operations",Struck by,GREENLAND,Drilling,Offshore,Europe,2010
32,"Drilling, workover, well services","Exposure noise, chemical, biological, vibration",GREENLAND,Drilling,Offshore,Europe,2010
33,Transport - Land,Struck by,BANGLADESH,Production,Onshore,Asia/Australasia,2012
34,"Maintenance, inspection, testing","Exposure noise, chemical, biological, vibration",TUNISIA,Production,Onshore,Africa,2012
35,"Drilling, workover, well services",Struck by,ARGENTINA,Drilling,Onshore,South & Central America,2015
36,Production operations,Pressure release,ECUADOR,Production,Onshore,South & Central America,2017
37,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",ARGENTINA,Drilling,Onshore,South & Central America,2017
38,Production operations,Explosions or burns,UAE,Production,Onshore,Middle East,2010
39,Transport - Land,Struck by,CHAD,Unspecified,Onshore,Africa,2017
40,Transport - Air,Other,YEMEN,Production,Onshore,Middle East,2013
41,Seismic / survey operations,Assault or violent act,TURKEY,Exploration,Onshore,Middle East,2012
42,null,Struck by,USA,Unspecified,Onshore,North America,2000
43,"Drilling, workover, well services",Struck by,ANGOLA,Drilling,Offshore,Africa,2013
44,Transport - Land,Struck by,HUNGARY,Production,Onshore,Europe,2013
45,"Lifting, crane, rigging, deck operations",Struck by,GREENLAND,Drilling,Offshore,Europe,2010
46,Unspecified - other,Explosions or burns,AUSTRALIA,Production,Onshore,Asia/Australasia,2010
47,"Drilling, workover, well services",Struck by,ALGERIA,Drilling,Onshore,Africa,2012
48,Unspecified - other,Struck by,NORWAY,Drilling,Offshore,Europe,2009
49,"Maintenance, inspection, testing",Confined space,QATAR,Production,Onshore,Middle East,2012
50,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",CHINA,Production,Offshore,Asia/Australasia,2012
51,"Construction, commissioning, decommissioning","Caught in, under or between (excl. dropped objects)",OMAN,Construction,Onshore,Middle East,2016
52,"Lifting, crane, rigging, deck operations",Struck by,RUSSIA,Drilling,Offshore,Russia & Central Asia,2016
53,Transport - Land,Struck by,VENEZUELA,Production,Onshore,South & Central America,2000
54,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",USA,Production,Onshore,North America,2016
55,Production operations,Pressure release,ECUADOR,Production,Onshore,South & Central America,2017
56,Production operations,Other,UK,Production,Onshore,Europe,2018
57,"Maintenance, inspection, testing",Other,QATAR,Production,Onshore,Middle East,2012
58,"Transport - Water, incl. marine activity","Caught in, under or between (excl. dropped objects)",TURKMENISTAN,Drilling,Offshore,Russia & Central Asia,2009
59,Production operations,Pressure release,INDIA,Production,Offshore,Asia/Australasia,2012
60,"Lifting, crane, rigging, deck operations",Struck by,QATAR,Production,Onshore,Middle East,2012
61,"Drilling, workover, well services",Struck by,GHANA,Drilling,Offshore,Africa,2012
62,"Drilling, workover, well services",Struck by,MAURITANIA,Drilling,Offshore,Africa,2014
63,"Drilling, workover, well services",Struck by,USA,Production,Onshore,North America,2017
64,"Construction, commissioning, decommissioning",Exposure electrical,QATAR,Construction,Onshore,Middle East,2012
65,"Transport - Water, incl. marine activity",Struck by,UAE,Production,Offshore,Middle East,2010
66,Production operations,Struck by,YEMEN,Production,Onshore,Middle East,2014
67,"Drilling, workover, well services",Struck by,USA,Drilling,Onshore,North America,2014
68,"Drilling, workover, well services",Pressure release,USA,Drilling,Onshore,North America,2017
69,Transport - Land,Struck by,UAE,Unspecified,Onshore,Middle East,2010
70,null,Other,VENEZUELA,Drilling,Onshore,South & Central America,2000
71,Unspecified - other,Other,QATAR,Production,Offshore,Middle East,2011
72,null,Explosions or burns,QATAR,Production,Offshore,Middle East,2000
73,"Drilling, workover, well services",Struck by,UAE,Drilling,Onshore,Middle East,2012
74,Transport - Land,Struck by,RUSSIA,Exploration,Onshore,Russia & Central Asia,2013
75,null,Explosions or burns,NORWAY,Production,Offshore,Europe,2000
76,"Lifting, crane, rigging, deck operations",Struck by,INDONESIA,Production,Onshore,Asia/Australasia,2015
77,Production operations,Confined space,ECUADOR,Production,Onshore,South & Central America,2013
78,Production operations,Pressure release,AUSTRALIA,Production,Onshore,Asia/Australasia,2013
79,"Drilling, workover, well services",Struck by,USA,Drilling,Onshore,North America,2013
80,Production operations,Confined space,ANGOLA,Production,Offshore,Africa,2016
81,null,Struck by,USA,Drilling,Offshore,North America,2000
82,"Drilling, workover, well services",Falls from height,THAILAND,Drilling,Offshore,Asia/Australasia,2014
83,null,Struck by,PAKISTAN,Drilling,Onshore,Asia/Australasia,2000
84,Production operations,Other,UK,Production,Onshore,Europe,2018
85,Production operations,Explosions or burns,UAE,Production,Onshore,Middle East,2010
86,Production operations,Struck by,NEW ZEALAND,Production,Offshore,Asia/Australasia,2016
87,Transport - Air,Other,DRC - Democratic Republic of the Congo (formerly Zaire),Production,Onshore,Africa,2011
88,"Drilling, workover, well services",Struck by,ETHIOPIA,Drilling,Onshore,Africa,2014
89,"Drilling, workover, well services",Struck by,GHANA,Drilling,Offshore,Africa,2012
90,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",EGYPT,Drilling,Offshore,Africa,2014
91,Transport - Land,Struck by,QATAR,Construction,Onshore,Middle East,2012
92,Production operations,Pressure release,AUSTRALIA,Production,Offshore,Asia/Australasia,2015
93,Transport - Land,Struck by,BOLIVIA,Construction,Onshore,South & Central America,2011
94,"Drilling, workover, well services",Struck by,INDONESIA,Drilling,Onshore,Asia/Australasia,2014
95,Production operations,"Exposure noise, chemical, biological, vibration",CANADA,Production,Offshore,North America,2016
96,Production operations,Explosions or burns,GABON,Production,Offshore,Africa,2013
97,"Maintenance, inspection, testing",Struck by,INDIA,Production,Offshore,Asia/Australasia,2012
98,null,Other,NIGERIA,Production,Offshore,Africa,2000
99,"Maintenance, inspection, testing",Pressure release,TUNISIA,Production,Offshore,Africa,2013
100,"Construction, commissioning, decommissioning","Exposure noise, chemical, biological, vibration",AUSTRALIA,Construction,Offshore,Asia/Australasia,2009
101,"Construction, commissioning, decommissioning",Pressure release,AUSTRALIA,Construction,Onshore,Asia/Australasia,2012
102,Transport - Land,"Caught in, under or between (excl. dropped objects)",CROATIA,Production,Onshore,Europe,2014
103,Production operations,Assault or violent act,NIGERIA,Unspecified,Onshore,Africa,2016
104,"Transport - Water, incl. marine activity",Struck by,UK,Drilling,Offshore,Europe,2013
105,"Maintenance, inspection, testing",Pressure release,QATAR,Production,Onshore,Middle East,2010
106,"Lifting, crane, rigging, deck operations",Struck by,QATAR,Construction,Onshore,Middle East,2012
107,Transport - Land,Explosions or burns,YEMEN,Unspecified,Onshore,Middle East,2012
108,"Lifting, crane, rigging, deck operations",Struck by,USA,Drilling,Onshore,North America,2017
109,"Drilling, workover, well services",Struck by,IRAQ,Exploration,Onshore,Middle East,2015
110,Transport - Air,"Exposure noise, chemical, biological, vibration",AUSTRALIA,Drilling,Offshore,Asia/Australasia,2009
111,"Drilling, workover, well services",Struck by,KENYA,Exploration,Onshore,Africa,2012
112,Production operations,Explosions or burns,QATAR,Production,Offshore,Middle East,2017
113,"Drilling, workover, well services",Falls from height,RUSSIA,Drilling,Onshore,Russia & Central Asia,2012
114,Production operations,Assault or violent act,YEMEN,Unspecified,Onshore,Middle East,2012
115,"Drilling, workover, well services",Pressure release,INDONESIA,Drilling,Offshore,Asia/Australasia,2010
116,Transport - Air,Other,PAPUA NEW GUINEA,Unspecified,Onshore,Asia/Australasia,2009
117,"Drilling, workover, well services",Falls from height,QATAR,Production,Offshore,Middle East,2017
118,Production operations,Pressure release,QATAR,Production,Onshore,Middle East,2010
119,"Lifting, crane, rigging, deck operations",Struck by,NIGERIA,Production,Onshore,Africa,2017
120,"Drilling, workover, well services",Pressure release,UK,Drilling,Offshore,Europe,2012
121,"Drilling, workover, well services",Pressure release,INDONESIA,Drilling,Onshore,Asia/Australasia,2014
122,Transport - Land,Struck by,INDIA,Construction,Onshore,Asia/Australasia,2010
123,null,Struck by,SUDAN,Production,Onshore,Africa,2000
124,"Transport - Water, incl. marine activity",Struck by,NETHERLANDS,Production,Offshore,Europe,2009
125,"Diving, subsea, ROV","Exposure noise, chemical, biological, vibration",UK,Production,Offshore,Europe,2016
126,Production operations,Other,YEMEN,Production,Offshore,Middle East,2015
127,"Office, warehouse, accommodation, catering",Assault or violent act,CROATIA,Drilling,Onshore,Europe,2013
128,null,"Caught in, under or between (excl. dropped objects)",NORWAY,Drilling,Offshore,Europe,2000
129,Unspecified - other,Falls from height,AUSTRIA,Unspecified,Onshore,Europe,2011
130,"Drilling, workover, well services",Pressure release,USA,Drilling,Onshore,North America,2016
131,"Drilling, workover, well services",Pressure release,USA,Drilling,Offshore,North America,2012
132,"Drilling, workover, well services",Pressure release,IRAQ,Exploration,Onshore,Middle East,2011
133,Production operations,Pressure release,THAILAND,Unspecified,Offshore,Asia/Australasia,2014
134,Transport - Land,Exposure electrical,ARGENTINA,Production,Onshore,South & Central America,2017
135,Production operations,Pressure release,AUSTRALIA,Production,Onshore,Asia/Australasia,2013
136,Unspecified - other,Explosions or burns,AUSTRALIA,Production,Onshore,Asia/Australasia,2010
137,null,Explosions or burns,USA,Production,Onshore,North America,2000
138,"Lifting, crane, rigging, deck operations",Struck by,USA,Drilling,Offshore,North America,2017
139,null,Struck by,NORWAY,Drilling,Offshore,Europe,2000
